organization_name,organization_user_name,organization_github_url,organization_website,organization_location,organization_avatar,organization_public_repos,organization_created,organization_last_update
HYDR,VUB-HYDR,https://github.com/VUB-HYDR,http://www.hydr.vub.ac.be/,"Brussels, Belgium",https://avatars.githubusercontent.com/u/35221117?v=4,30,"2018/01/08, 10:44:57","2021/11/26, 10:04:58"
CoMPAS - (Co)nfiguration (M)odules for (P)ower industry (A)utomation (S)ystems,com-pas,https://github.com/com-pas,https://lfenergy.org/projects/compas,,https://avatars.githubusercontent.com/u/63782197?v=4,12,"2020/04/16, 09:14:55","2021/11/26, 19:54:43"
Balmorel Community,balmorelcommunity,https://github.com/balmorelcommunity,,,https://avatars.githubusercontent.com/u/29952453?v=4,10,"2017/07/06, 14:38:32","2021/11/11, 10:17:35"
Open Energy Family,OpenEnergyPlatform,https://github.com/OpenEnergyPlatform,https://github.com/OpenEnergyPlatform/organisation/blob/master/README.md,"Magdeburg, Germany",https://avatars.githubusercontent.com/u/37101913?v=4,17,"2018/03/06, 08:18:33","2021/11/26, 09:54:32"
Collaboration on Energy and Environmental Markets (CEEM),UNSW-CEEM,https://github.com/UNSW-CEEM,http://ceem.unsw.edu.au/,Sydney Australia,https://avatars.githubusercontent.com/u/33536784?v=4,18,"2017/11/10, 04:14:36","2021/11/12, 03:50:34"
AntaresSimulatorTeam,AntaresSimulatorTeam,https://github.com/AntaresSimulatorTeam,,,https://avatars.githubusercontent.com/u/40797821?v=4,12,"2018/07/03, 13:27:43","2021/11/26, 09:26:05"
GMLC-TDC,GMLC-TDC,https://github.com/GMLC-TDC,https://helics.org,,https://avatars.githubusercontent.com/u/22627455?v=4,41,"2016/10/04, 23:27:27","2021/11/24, 23:51:50"
H2020 openENTRANCE,openENTRANCE,https://github.com/openENTRANCE,https://openentrance.eu,,https://avatars.githubusercontent.com/u/60662804?v=4,4,"2020/02/04, 16:06:42","2021/11/20, 16:53:37"
JuliaEnergy,JuliaEnergy,https://github.com/JuliaEnergy,,,https://avatars.githubusercontent.com/u/42609159?v=4,11,"2018/08/22, 12:01:45","2021/11/02, 14:19:36"
IDAES,IDAES,https://github.com/IDAES,https://idaes.org,,https://avatars.githubusercontent.com/u/16325231?v=4,8,"2015/12/16, 17:38:53","2021/11/23, 20:28:20"
"Institute of Energy Systems, Energy Efficiency and Energy Economics - ie3",ie3-institute,https://github.com/ie3-institute,http://www.ie3.tu-dortmund.de/cms/en/Institut/index.html,"Dortmund, Germany ",https://avatars.githubusercontent.com/u/58265273?v=4,19,"2019/11/27, 15:31:42","2021/11/25, 14:18:20"
,PyPSA,https://github.com/PyPSA,,,https://avatars.githubusercontent.com/u/32890768?v=4,20,"2017/10/18, 04:06:39","2021/11/26, 13:42:05"
rte-antares-rpackage,rte-antares-rpackage,https://github.com/rte-antares-rpackage,https://rte-antares-rpackage.github.io/rPackagesRte/,,https://avatars.githubusercontent.com/u/23478907?v=4,32,"2016/11/15, 13:48:55","2021/11/24, 08:12:44"
Spine project,Spine-project,https://github.com/Spine-project,http://www.spine-model.org/,,https://avatars.githubusercontent.com/u/42807090?v=4,34,"2018/08/29, 12:55:53","2021/11/26, 15:45:32"
reegis,reegis,https://github.com/reegis,,,https://avatars.githubusercontent.com/u/35924869?v=4,7,"2018/01/29, 13:59:42","2021/07/29, 08:53:44"
Switch Power System Planning Model,switch-model,https://github.com/switch-model,http://switch-model.org,,https://avatars.githubusercontent.com/u/11792892?v=4,6,"2015/04/04, 02:59:23","2021/11/12, 12:22:31"
SOGNO,sogno-platform,https://github.com/sogno-platform,https://sogno-platform.github.io/,,https://avatars.githubusercontent.com/u/73550268?v=4,22,"2020/10/27, 17:13:12","2021/11/08, 10:49:09"
,pypsa-meets-africa,https://github.com/pypsa-meets-africa,,,https://avatars.githubusercontent.com/u/84225086?v=4,8,"2021/05/15, 08:37:15","2021/11/26, 17:33:24"
powsybl,powsybl,https://github.com/powsybl,https://www.powsybl.org,,https://avatars.githubusercontent.com/u/29916668?v=4,35,"2017/07/05, 09:45:29","2021/11/26, 13:30:13"
MATPOWER Development,MATPOWER,https://github.com/MATPOWER,,,https://avatars.githubusercontent.com/u/22669039?v=4,22,"2016/10/06, 21:08:19","2021/11/23, 01:23:03"
Reiner Lemoine Institut,rl-institut,https://github.com/rl-institut,http://www.reiner-lemoine-institut.de,Berlin/Germany,https://avatars.githubusercontent.com/u/18393972?v=4,51,"2016/04/11, 09:09:11","2021/11/25, 08:29:17"
Integrated Assessment Modeling Consortium (IAMC),IAMconsortium,https://github.com/IAMconsortium,https://www.iamconsortium.org,,https://avatars.githubusercontent.com/u/19565808?v=4,8,"2016/05/25, 06:34:57","2021/11/25, 13:27:46"
openCEM,openCEMorg,https://github.com/openCEMorg,,,https://avatars.githubusercontent.com/u/44991012?v=4,3,"2018/11/13, 03:40:35","2021/06/11, 00:04:45"
The Open Source Spatial Electrification Tool,OnSSET,https://github.com/OnSSET,www.onsset.org,,https://avatars.githubusercontent.com/u/57988767?v=4,7,"2019/11/20, 10:32:23","2021/11/17, 09:15:07"
Intelligent Environments Laboratory,intelligent-environments-lab,https://github.com/intelligent-environments-lab,http://nagy.caee.utexas.edu,"Austin, TX",https://avatars.githubusercontent.com/u/29540963?v=4,17,"2017/06/19, 10:32:44","2021/11/26, 12:05:47"
International Business Machines,IBM,https://github.com/IBM,https://www.ibm.com/opensource/,"Armonk, New York, U.S.",https://avatars.githubusercontent.com/u/1459110?v=4,2282,"2012/02/21, 22:13:01","2021/11/26, 20:04:05"
IIASA,iiasa,https://github.com/iiasa,https://www.iiasa.ac.at,"Laxenburg, Austria",https://avatars.githubusercontent.com/u/15230149?v=4,74,"2015/10/21, 11:14:33","2021/11/26, 21:12:24"
Blue Marble Analytics,blue-marble,https://github.com/blue-marble,https://www.bluemarble.run,"San Francisco, CA",https://avatars.githubusercontent.com/u/22780527?v=4,1,"2016/10/11, 22:48:40","2021/11/24, 02:31:36"
Breakthrough Energy,Breakthrough-Energy,https://github.com/Breakthrough-Energy,https://breakthrough-energy.github.io/docs/,,https://avatars.githubusercontent.com/u/68243594?v=4,11,"2020/07/13, 17:08:20","2021/11/17, 01:52:16"
,EnergyTransition,https://github.com/EnergyTransition,,,https://avatars.githubusercontent.com/u/40061405?v=4,11,"2018/06/08, 11:35:55","2021/11/19, 16:40:21"
OpenEMS,OpenEMS,https://github.com/OpenEMS,http://openems.io,,https://avatars.githubusercontent.com/u/20765902?v=4,8,"2016/08/01, 06:09:31","2021/11/26, 01:50:52"
OpenEEmeter,openeemeter,https://github.com/openeemeter,recurve.com,,https://avatars.githubusercontent.com/u/19336002?v=4,2,"2016/05/12, 23:22:15","2021/11/22, 13:16:58"
OperatorFabric,opfab,https://github.com/opfab,,,https://avatars.githubusercontent.com/u/43637906?v=4,6,"2018/09/27, 09:26:15","2021/11/26, 21:58:29"
Energy Sparks,Energy-Sparks,https://github.com/Energy-Sparks,https://energysparks.uk/,UK,https://avatars.githubusercontent.com/u/66954989?v=4,3,"2020/06/15, 13:06:16","2021/11/26, 09:13:11"
OpenEnergyMonitor,openenergymonitor,https://github.com/openenergymonitor,http://openenergymonitor.org,"Intec, Parc Menai, Bangor, UK",https://avatars.githubusercontent.com/u/758944?v=4,92,"2011/04/29, 12:54:39","2021/11/20, 17:36:53"
Emoncms,emoncms,https://github.com/emoncms,http://emoncms.org,,https://avatars.githubusercontent.com/u/2532311?v=4,35,"2012/10/10, 22:47:20","2021/11/26, 20:58:45"
Seita BV,SeitaBV,https://github.com/SeitaBV,https://seita.nl,"Amsterdam, The Netherlands",https://avatars.githubusercontent.com/u/43065362?v=4,18,"2018/09/07, 10:50:22","2021/11/24, 10:12:28"
Grid Parity Exchange,grid-parity-exchange,https://github.com/grid-parity-exchange,,,https://avatars.githubusercontent.com/u/47119915?v=4,2,"2019/01/28, 18:39:33","2021/11/18, 02:12:38"
Quintel Intelligence,quintel,https://github.com/quintel,quintel.com,Amsterdam,https://avatars.githubusercontent.com/u/2242291?v=4,38,"2012/08/29, 15:08:08","2021/11/22, 10:41:34"
Grid eXchange Fabric (GXF): formerly known as the Open Smart Grid Platform,OSGP,https://github.com/OSGP,https://www.lfenergy.org/projects/gxf/,Vianen,https://avatars.githubusercontent.com/u/11352045?v=4,11,"2015/03/06, 15:23:43","2021/11/26, 10:52:15"
A Library of IEEE PES Power Grid Benchmarks,power-grid-lib,https://github.com/power-grid-lib,https://power-grid-lib.github.io/,,https://avatars.githubusercontent.com/u/21188896?v=4,4,"2016/08/23, 04:43:56","2021/10/28, 15:58:23"
Réseau de transport d'électricité,rte-france,https://github.com/rte-france,http://www.rte-france.com/,,https://avatars.githubusercontent.com/u/19531752?v=4,19,"2016/05/23, 12:08:06","2021/11/18, 15:36:26"
,openego,https://github.com/openego,https://openegoproject.wordpress.com/,,https://avatars.githubusercontent.com/u/15909192?v=4,19,"2015/11/18, 14:10:10","2021/11/19, 08:30:39"
,GridMod,https://github.com/GridMod,,,https://avatars.githubusercontent.com/u/23124369?v=4,4,"2016/10/28, 15:54:38","2021/11/22, 06:54:06"
Energy Web Foundation,energywebfoundation,https://github.com/energywebfoundation,http://energyweb.org/,,https://avatars.githubusercontent.com/u/32361864?v=4,151,"2017/09/28, 12:29:16","2021/11/26, 21:29:56"
Grid Singularity,gridsingularity,https://github.com/gridsingularity,https://gridsingularity.com/,Berlin,https://avatars.githubusercontent.com/u/15871858?v=4,14,"2015/11/16, 13:38:53","2021/11/26, 14:47:49"
"Sony Computer Science Laboratories, Inc.",SonyCSL,https://github.com/SonyCSL,http://www.sonycsl.co.jp/,,https://avatars.githubusercontent.com/u/2343888?v=4,35,"2012/09/14, 03:03:38","2021/03/10, 11:11:46"
Total-R&D,Total-RD,https://github.com/Total-RD,,,https://avatars.githubusercontent.com/u/61286436?v=4,1,"2020/02/20, 16:16:48","2021/11/07, 12:28:50"
Energy and Power Group,EPGOxford,https://github.com/EPGOxford,https://epg.eng.ox.ac.uk/,"Oxford, UK",https://avatars.githubusercontent.com/u/54850669?v=4,2,"2019/09/03, 13:45:59","2021/11/26, 16:54:08"
iTEM: International Transport Energy Modeling,transportenergy,https://github.com/transportenergy,https://transportenergy.org,Worldwide,https://avatars.githubusercontent.com/u/25395954?v=4,5,"2017/01/27, 23:32:53","2021/11/17, 16:29:43"
Microsoft Azure,Azure,https://github.com/Azure,https://docs.microsoft.com/en-us/azure/,"Redmond, WA & the cloud ☁️",https://avatars.githubusercontent.com/u/6844498?v=4,1618,"2014/03/03, 22:17:42","2021/11/26, 23:20:53"
OpenNEM,opennem,https://github.com/opennem,https://opennem.org.au,"Melbourne, Australia",https://avatars.githubusercontent.com/u/39894852?v=4,9,"2018/06/04, 03:54:14","2021/11/26, 02:13:41"
Catalyst Cooperative,catalyst-cooperative,https://github.com/catalyst-cooperative,https://catalyst.coop,"Boulder, CO",https://avatars.githubusercontent.com/u/25487946?v=4,39,"2017/02/01, 17:43:38","2021/11/24, 21:53:50"
World Resources Institute,wri,https://github.com/wri,wri.org,"Washington, DC",https://avatars.githubusercontent.com/u/4615146?v=4,155,"2013/06/04, 21:06:01","2021/11/26, 16:53:11"
Tomorrow,tmrowco,https://github.com/tmrowco,https://www.tmrow.com,,https://avatars.githubusercontent.com/u/24733017?v=4,5,"2016/12/23, 12:00:35","2021/11/26, 15:36:52"
EnergieID cvba-so,EnergieID,https://github.com/EnergieID,http://www.energieid.be,"Antwerp, Belgium",https://avatars.githubusercontent.com/u/13538977?v=4,16,"2015/07/28, 12:58:50","2021/11/26, 19:41:42"
Open Power System Data,Open-Power-System-Data,https://github.com/Open-Power-System-Data,http://open-power-system-data.org/,,https://avatars.githubusercontent.com/u/14346309?v=4,6,"2015/09/18, 10:56:58","2021/11/17, 11:19:54"
FRESNA,FRESNA,https://github.com/FRESNA,https://fias.uni-frankfurt.de/physics/schramm/renewable-energy-system-and-network-analysis/,"Frankfurt am Main, Germany",https://avatars.githubusercontent.com/u/16474771?v=4,6,"2015/12/29, 09:51:39","2021/11/15, 12:36:43"
Our World in Data,owid,https://github.com/owid,https://ourworldindata.org,,https://avatars.githubusercontent.com/u/14187135?v=4,34,"2015/09/08, 20:32:10","2021/11/27, 00:16:01"
