organization_name,organization_user_name,organization_namespace_url,organization_website,location_country,form_of_organization
Our World in Data,owid,https://github.com/owid,https://ourworldindata.org,UK,non-profit
Open Climate Fix,openclimatefix,https://github.com/openclimatefix,https://www.openclimatefix.org/,UK,non-profit
Exeter Climate Systems,ExeClim,https://github.com/ExeClim,https://execlim.github.io/IscaWebsite/,UK,academia
Imperial College London,ImperialCollegeLondon,https://github.com/ImperialCollegeLondon,https://www.imperial.ac.uk/,UK,academia
Materials Design Group,WMD-group,https://github.com/WMD-group,https://wmd-group.github.io,UK,academia
roocs - remote operations on climate simulations,roocs,https://github.com/roocs,https://www.ukri.org/councils/stfc/,UK,academia
Energy and Power Group,EPGOxford,https://github.com/EPGOxford,https://epg.eng.ox.ac.uk/,UK,academia
Thomas Haine Research Group,hainegroup,https://github.com/hainegroup,https://sites.krieger.jhu.edu/haine/,UK,academia
Sizespectrum,sizespectrum,https://github.com/sizespectrum,https://sizespectrum.org/mizer/,UK,academia
Institute for Transport Studies,ITSLeeds,https://github.com/ITSLeeds,https://environment.leeds.ac.uk/transport,UK,academia
Open Source UK Energy Data,OSUKED,https://github.com/OSUKED,https://osuked.com/,UK,community
Open Energy Monitor,openenergymonitor,https://github.com/openenergymonitor,http://openenergymonitor.org,UK,community
Emoncms,emoncms,https://github.com/emoncms,http://emoncms.org,UK,community
ESA CCI Toolbox (Cate),CCI-Tools,https://github.com/CCI-Tools,https://climate.esa.int/en/explore/analyse-climate-data/,UK,government agency
The Alan Turing Institute,alan-turing-institute,https://github.com/alan-turing-institute,https://turing.ac.uk,UK,government agency
European Centre for Medium-Range Weather Forecasts,ecmwf-ifs,https://github.com/ecmwf-ifs,https://www.ecmwf.int,UK,government agency
European Centre for Medium-Range Weather Forecasts,ecmwf,https://github.com/ecmwf,https://www.ecmwf.int/,UK,government agency
ECMWF projects,ecmwf-projects,https://github.com/ecmwf-projects,https://www.ecmwf.int/,UK,government agency
Met Office,MetOffice,https://github.com/MetOffice,https://www.metoffice.gov.uk/,UK,government agency
SciTools,SciTools,https://github.com/SciTools,https://scitools.org.uk/,UK,government agency
NCAS CMS,NCAS-CMS,https://github.com/NCAS-CMS,http://cms.ncas.ac.uk/,UK,government agency
WorldPop,wpgp,https://github.com/wpgp,https://www.worldpop.org,UK,academia
My Climate Journey,My-Climate-Journey,https://github.com/My-Climate-Journey,https://www.myclimatejourney.co/,USA,for-profit
Weights & Biases,wandb,https://github.com/wandb,https://wandb.ai,USA,for-profit
FarmBot,FarmBot,https://github.com/FarmBot,https://farm.bot,USA,for-profit
Breaking Bytes,BreakingBytes,https://github.com/BreakingBytes,http://breaking-bytes.mikofski.io/,USA,for-profit
"Ecotope, Inc.",EcotopeResearch,https://github.com/EcotopeResearch,https://www.ecotope.com/,USA,for-profit
Regen Network,regen-network,https://github.com/regen-network,https://www.regen.network,USA,for-profit
Breakthrough Energy,Breakthrough-Energy,https://github.com/Breakthrough-Energy,https://breakthrough-energy.github.io/docs/,USA,for-profit
Microsoft Azure,Azure,https://github.com/Azure,https://docs.microsoft.com/en-us/azure/,USA,for-profit
Carbonfact,kansoapp,https://github.com/kansoapp,https://www.carbonfact.com,USA,for-profit
Open NanoCarbon,hsbay,https://github.com/hsbay,http://www.autofracture.com/opencarbon,USA,for-profit
EnergyPATHWAYS,energyPATHWAYS,https://github.com/energyPATHWAYS,https://www.evolved.energy/,USA,for-profit
Google,google,https://github.com/google,https://opensource.google/,USA,for-profit
Intake,intake,https://github.com/intake,https://www.anaconda.com/,USA,for-profit
Microsoft,microsoft,https://github.com/microsoft,https://opensource.microsoft.com,USA,for-profit
OpenTreeMap,OpenTreeMap,https://github.com/OpenTreeMap,https://www.opentreemap.org/,USA,for-profit
Patch,patch-technology,https://github.com/patch-technology,https://patch.io,USA,for-profit
Blue Marble Analytics,blue-marble,https://github.com/blue-marble,https://www.bluemarble.run,USA,for-profit
OpenEEmeter,openeemeter,https://github.com/openeemeter,https://www.recurve.com/,USA,for-profit
Stripe,stripe,https://github.com/stripe,https://stripe.com,USA,for-profit
Cloud to Street,cloudtostreet,https://github.com/cloudtostreet,https://cloudtostreet.ai/,USA,for-profit
Google Cloud Platform,GoogleCloudPlatform,https://github.com/GoogleCloudPlatform,https://cloud.google.com,USA,for-profit
OpenEVSE,OpenEVSE,https://github.com/OpenEVSE,http://www.openevse.com,USA,for-profit
International Business Machines,IBM,https://github.com/IBM,https://www.ibm.com/opensource/,USA,for-profit
Open Source Strategies,opentaps,https://github.com/opentaps,https://www.opensourcestrategies.com/,USA,for-profit
Catalyst Cooperative,catalyst-cooperative,https://github.com/catalyst-cooperative,https://catalyst.coop,USA,for-profit
DSSAT Foundation,DSSAT,https://github.com/DSSAT,http://dssat.net/,USA,for-profit
APA Technology Division,APA-Technology-Division,https://github.com/APA-Technology-Division,https://tech.planning.org/,USA,for-profit
The Washington Post,washingtonpost,https://github.com/washingtonpost,https://washpost.engineering/,USA,for-profit
BlinkTag,BlinkTagInc,https://github.com/BlinkTagInc,https://blinktag.com,USA,for-profit
SunPower,SunPower,https://github.com/SunPower,https://sunpower.github.io/,USA,for-profit
Atmospheric and Environmental Research R&C,AER-RC,https://github.com/AER-RC,https://www.aer.com/science-research/atmosphere/radiative-transfer/,USA,for-profit
EPRI (private),epri-dev,https://github.com/epri-dev,http://www.epri.com,USA,for-profit
Donald Danforth Plant Science Center,danforthcenter,https://github.com/danforthcenter,http://danforthcenter.org,USA,non-profit
ClimateWatch-Vizzuality,ClimateWatch-Vizzuality,https://github.com/ClimateWatch-Vizzuality,https://www.climatewatchdata.org/,USA,non-profit
World Resources Institute,wri,https://github.com/wri,https://www.wri.org/,USA,non-profit
Open Mobility Foundation,openmobilityfoundation,https://github.com/openmobilityfoundation,http://www.openmobilityfoundation.org/,USA,non-profit
The Apache Software Foundation,apache,https://github.com/apache,https://www.apache.org/,USA,non-profit
Bike Index,bikeindex,https://github.com/bikeindex,https://bikeindex.org,USA,non-profit
HabitatMap,HabitatMap,https://github.com/HabitatMap,https://www.habitatmap.org/,USA,non-profit
Green Software Foundation,Green-Software-Foundation,https://github.com/Green-Software-Foundation,https://greensoftware.foundation,USA,non-profit
Global Fishing Watch,GlobalFishingWatch,https://github.com/GlobalFishingWatch,http://globalfishingwatch.org,USA,non-profit
OneBusAway,OneBusAway,https://github.com/OneBusAway,https://onebusaway.org/,USA,non-profit
EnviroDIY,EnviroDIY,https://github.com/EnviroDIY,http://envirodiy.org/,USA,non-profit
Resource Watch,resource-watch,https://github.com/resource-watch,https://resourcewatch.org/,USA,non-profit
Project Drawdown,ProjectDrawdown,https://github.com/ProjectDrawdown,https://drawdown.org/,USA,non-profit
rOpenSci,ropensci,https://github.com/ropensci,https://ropensci.org/,USA,non-profit
WikiWatershed,WikiWatershed,https://github.com/WikiWatershed,http://wikiwatershed.org,USA,non-profit
Code for Boston,codeforboston,https://github.com/codeforboston,http://codeforboston.org,USA,non-profit
OpenOakland,openoakland,https://github.com/openoakland,http://openoakland.org,USA,non-profit
Parallel Ice Sheet Model,pism,https://github.com/pism,http://www.pism.io/,USA,academia
Unidata,Unidata,https://github.com/Unidata,https://www.unidata.ucar.edu/,USA,academia
PassaH2O Group,passaH2O,https://github.com/passaH2O,https://sites.google.com/site/passalacquagroup/home,USA,academia
Pacific Marine Environmental Laboratory,NOAA-PMEL,https://github.com/NOAA-PMEL,http://www.pmel.noaa.gov,USA,academia
UW Hydro | Computational Hydrology,UW-Hydro,https://github.com/UW-Hydro,http://uw-hydro.github.io/,USA,academia
Utah Atmospheric Trace gas & Air Quality Lab,uataq,https://github.com/uataq,https://air.utah.edu,USA,academia
Landlab,landlab,https://github.com/landlab,http://landlab.github.io,USA,academia
The Signal Intelligence Project,sintel-dev,https://github.com/sintel-dev,https://dai.lids.mit.edu/,USA,academia
Climate Modeling Alliance,CliMA,https://github.com/CliMA,https://clima.caltech.edu,USA,academia
Weecology,weecology,https://github.com/weecology,http://weecology.org,USA,academia
Yale OpenLab,YaleOpenLab,https://github.com/YaleOpenLab,https://www.openlab.yale.edu/,USA,academia
AguaClara,AguaClara,https://github.com/AguaClara,http://aguaclara.cornell.edu/,USA,academia
Global Hydrology Lab,GlobalHydrologyLab,https://github.com/GlobalHydrologyLab,https://uncglobalhydrology.org/,USA,academia
HydroShare,hydroshare,https://github.com/hydroshare,http://hydroshare.cuahsi.org/,USA,academia
MDO Lab,mdolab,https://github.com/mdolab,https://mdolab.engin.umich.edu/,USA,academia
Laboratory of Tree-Ring Research,ltrr-arizona-edu,https://github.com/ltrr-arizona-edu,http://ltrr.arizona.edu/,USA,academia
Joint Global Change Research Institute,JGCRI,https://github.com/JGCRI,http://globalchange.umd.edu,USA,academia
MIT PVLab,PV-Lab,https://github.com/PV-Lab,https://www.buonassisigroup.com/,USA,academia
Intelligent Environments Laboratory,intelligent-environments-lab,https://github.com/intelligent-environments-lab,http://nagy.caee.utexas.edu,USA,academia
Center for the Built Environment,CenterForTheBuiltEnvironment,https://github.com/CenterForTheBuiltEnvironment,http://cbe.berkeley.edu,USA,academia
Cornell Lab of Ornithology,CornellLabofOrnithology,https://github.com/CornellLabofOrnithology,http://www.birds.cornell.edu,USA,academia
SLAC GISMo,slacgismo,https://github.com/slacgismo,https://gismo.slac.stanford.edu/,USA,academia
Observations Data Model 2,ODM2,https://github.com/ODM2,http://www.odm2.org,USA,academia
ISRaD,International-Soil-Radiocarbon-Database,https://github.com/International-Soil-Radiocarbon-Database,https://soilradiocarbon.org/,USA,academia
MITgcm,MITgcm,https://github.com/MITgcm,http://mitgcm.org/,USA,academia
OpenMDAO,OpenMDAO,https://github.com/OpenMDAO,http://www.openmdao.org,USA,academia
Open-Source Ocean Acoustics,OSOceanAcoustics,https://github.com/OSOceanAcoustics,https://oalib-acoustics.org/,USA,academia
eMapR Lab,eMapR,https://github.com/eMapR,http://emapr.ceoas.oregonstate.edu/,USA,academia
Penn State Earth System Modeling Team,PSUmodeling,https://github.com/PSUmodeling,https://psumodeling.github.io/,USA,academia
Community Surface Dynamics Modeling System,csdms,https://github.com/csdms,http://csdms.colorado.edu,USA,academia
Center for Environmental Modeling for Policy Development,CEMPD,https://github.com/CEMPD,http://www.ie.unc.edu/cempd/,USA,academia
CMU CREATE Lab,CMU-CREATE-Lab,https://github.com/CMU-CREATE-Lab,https://cmucreatelab.org/,USA,academia
Global Change Ecology & Evolution Research Group,pinskylab,https://github.com/pinskylab,http://pinsky.marine.rutgers.edu,USA,academia
ForC,forc-db,https://github.com/forc-db,https://forc-db.github.io/,USA,academia
Center for Urban Transportation Research @ USF,CUTR-at-USF,https://github.com/CUTR-at-USF,http://www.cutr.usf.edu,USA,academia
The Natural Capital Project,natcap,https://github.com/natcap,https://naturalcapitalproject.stanford.edu/,USA,academia
Dryland Ecology,DrylandEcology,https://github.com/DrylandEcology,,USA,community
PowerGenome,PowerGenome,https://github.com/PowerGenome,,USA,community
Cloud Carbon Footprint,cloud-carbon-footprint,https://github.com/cloud-carbon-footprint,https://cloudcarbonfootprint.org,USA,community
Protea.Earth,protea-earth,https://github.com/protea-earth,http://protea.earth,USA,community
MudPi,mudpi,https://github.com/mudpi,https://mudpi.app,USA,community
PyBaMM Team,pybamm-team,https://github.com/pybamm-team,https://www.pybamm.org/,USA,community
Switch Power System Planning Model,switch-model,https://github.com/switch-model,http://switch-model.org,USA,community
Aqualink.org,aqualinkorg,https://github.com/aqualinkorg,https://aqualink.org/,USA,community
ncss-tech,ncss-tech,https://github.com/ncss-tech,http://ncss-tech.github.io/AQP/,USA,collaboration
LBNL-JCI-ICF (BETTER),LBNL-JCI-ICF,https://github.com/LBNL-JCI-ICF,,USA,collaboration
North American Bike Share Association,NABSA,https://github.com/NABSA,http://www.nabsa.net,USA,collaboration
ESIP,ESIPFed,https://github.com/ESIPFed,http://esipfed.org,USA,collaboration
Ecosystem Dynamics and Assessment Branch,NOAA-EDAB,https://github.com/NOAA-EDAB,https://www.nefsc.noaa.gov/ecosys/,USA,government agency
Reliability Test System–Grid Modernization Lab Consortium,GridMod,https://github.com/GridMod,https://www.nrel.gov/grid/reliability-test-system.html,USA,government agency
U.S. Geological Survey,USGS-python,https://github.com/USGS-python,https://www.usgs.gov/,USA,government agency
Western States Water Use Program (WSWUP),WSWUP,https://github.com/WSWUP,https://www.dri.edu/western-states-water-use-program,USA,government agency
Lawrence Berkeley National Laboratory,lbl-srg,https://github.com/lbl-srg,https://www.lbl.gov/,USA,government agency
QuESt,snl-quest,https://github.com/snl-quest,https://www.sandia.gov/ess-ssl/tools/quest/,USA,government agency
Los Alamos National Laboratory,lanl,https://github.com/lanl,https://www.lanl.gov/,USA,government agency
National Center for Atmospheric Research,NCAR,https://github.com/NCAR,http://ncar.ucar.edu,USA,government agency
VOLTTRON,VOLTTRON,https://github.com/VOLTTRON,http://volttron.org,USA,government agency
NASA,nasa,https://github.com/nasa,https://github.com/nasa/nasa.github.io/blob/master/docs/INSTRUCTIONS.md,USA,government agency
LBL-EESA,LBL-EESA,https://github.com/LBL-EESA,http://eesa.lbl.gov/,USA,government agency
modflowpy,modflowpy,https://github.com/modflowpy,,USA,government agency
Modeling and Meteorology Branch of the California Air Resources Board,mmb-carb,https://github.com/mmb-carb,https://www.arb.ca.gov/homepage.htm,USA,government agency
NREL-SIIP,NREL-SIIP,https://github.com/NREL-SIIP,https://www.nrel.gov/analysis/siip.html,USA,government agency
Sandia National Laboratories Water Power Technologies,SNL-WaterPower,https://github.com/SNL-WaterPower,http://energy.sandia.gov/energy/renewable-energy/water-power/,USA,government agency
Model for Prediction Across Scales ,MPAS-Dev,https://github.com/MPAS-Dev,https://ncar.ucar.edu/what-we-offer/models/model-prediction-across-scales-mpas,USA,government agency
R4SS,r4ss,https://github.com/r4ss,https://www.fisheries.noaa.gov/,USA,government agency
OpenFAST,OpenFAST,https://github.com/OpenFAST,https://openfast.readthedocs.io,USA,government agency
advanced network science initiative,lanl-ansi,https://github.com/lanl-ansi,https://lanl-ansi.github.io/,USA,government agency
NOAA - Geophysical Fluid Dynamics Laboratory,NOAA-GFDL,https://github.com/NOAA-GFDL,https://www.gfdl.noaa.gov/,USA,government agency
NOAA - Office of Water Prediction,NOAA-OWP,https://github.com/NOAA-OWP,https://water.noaa.gov/,USA,government agency
Sandia National Laboratories,sandialabs,https://github.com/sandialabs,https://software.sandia.gov,USA,government agency
NGEE-Tropics,NGEET,https://github.com/NGEET,http://ngee-tropics.lbl.gov/,USA,government agency
U.S. Environmental Protection Agency,USEPA,https://github.com/USEPA,https://www.epa.gov/,USA,government agency
TDcoSim Team,tdcosim,https://github.com/tdcosim,,USA,government agency
NOAA-ORR-ERD,NOAA-ORR-ERD,https://github.com/NOAA-ORR-ERD,https://response.restoration.noaa.gov/,USA,government agency
MHKiT,MHKiT-Software,https://github.com/MHKiT-Software,https://mhkit-software.github.io/MHKiT/,USA,government agency
USDA ARS Northwest Watershed Research Center,USDA-ARS-NWRC,https://github.com/USDA-ARS-NWRC,https://www.ars.usda.gov/pacific-west-area/boise-id/northwest-watershed-research-center/,USA,government agency
NASA - Applied Sciences Program,NASA-DEVELOP,https://github.com/NASA-DEVELOP,http://develop.larc.nasa.gov/,USA,government agency
LBNL/UCB - Sustainable Transportation Initiative,LBNL-UCB-STI,https://github.com/LBNL-UCB-STI,https://transportation.lbl.gov/,USA,government agency
batterysim,batterysim,https://github.com/batterysim,https://vibe.ornl.gov/,USA,government agency
NOAA Environmental Modeling Center (EMC),NOAA-EMC,https://github.com/NOAA-EMC,http://www.emc.ncep.noaa.gov/,USA,government agency
Program for Climate Model Diagnosis and Intercomparison,PCMDI,https://github.com/PCMDI,http://pcmdi.llnl.gov,USA,government agency
Earth System Grid Federation,ESGF,https://github.com/ESGF,http://esgf.llnl.gov,USA,government agency
Stock-Assessment Simulation,ss3sim,https://github.com/ss3sim,https://ss3sim.github.io/ss3sim/,USA,government agency
LBNL Energy Technologies Area,LBNL-ETA,https://github.com/LBNL-ETA,http://eta.lbl.gov,USA,government agency
Standard Energy Efficiency Data Platform™,SEED-platform,https://github.com/SEED-platform,http://energy.gov/eere/buildings/standard-energy-efficiency-data-platform,USA,government agency
pyGSFLOW,pygsflow,https://github.com/pygsflow,https://pygsflow.github.io/pygsflowdocs/,USA,government agency
UMN-Hydro,UMN-Hydro,https://github.com/UMN-Hydro,,USA,government agency
National Oceanic and Atmospheric Administration,NOAAGov,https://github.com/NOAAGov,http://www.noaa.gov/,USA,government agency
National Snow and Ice Data Center,nsidc,https://github.com/nsidc,http://www.nsidc.org/,USA,government agency
GMLC-TDC,GMLC-TDC,https://github.com/GMLC-TDC,https://helics.org,USA,government agency
USGS MODFLOW and Related Programs,MODFLOW-USGS,https://github.com/MODFLOW-USGS,https://www.usgs.gov/mission-areas/water-resources/science/modflow-and-related-programs,USA,government agency
Energy Exascale Earth System Model Project,E3SM-Project,https://github.com/E3SM-Project,http://e3sm.org,USA,government agency
National Renewable Energy Laboratory,NREL,https://github.com/NREL,http://www.nrel.gov,USA,government agency
WISDEM,WISDEM,https://github.com/WISDEM,https://nwtc.nrel.gov/WISDEM,USA,government agency
IDAES,IDAES,https://github.com/IDAES,https://idaes.org,USA,government agency
Solar Forecast Arbiter,SolarArbiter,https://github.com/SolarArbiter,https://solarforecastarbiter.org/,USA,government agency
USGS-R,USGS-R,https://github.com/USGS-R,https://owi.usgs.gov/R/,USA,government agency
Wave Energy Converter Simulator,WEC-Sim,https://github.com/WEC-Sim,http://wec-sim.github.io/WEC-Sim/,USA,government agency
PEcAn Project,PecanProject,https://github.com/PecanProject,http://pecanproject.org,USA,community
Inter Agency Implementation and Advanced Concepts,NASA-IMPACT,https://github.com/NASA-IMPACT,https://earthdata.nasa.gov/esds/impact,USA,government agency
iNaturalist,inaturalist,https://github.com/inaturalist,http://www.inaturalist.org,USA,collaboration
Wild Me,WildMeOrg,https://github.com/WildMeOrg,https://wildme.org,USA,non-profit
Ecotrust,Ecotrust,https://github.com/Ecotrust,https://ecotrust.org,USA,non-profit
NASA Jet Propulsion Laboratory,nasa-jpl,https://github.com/nasa-jpl,http://www.jpl.nasa.gov,USA,government agency
rOpenSci Archive,ropensci-archive,https://github.com/ropensci-archive,https://ropensci.org/,USA,non-profit
fishR Core Team,fishR-Core-Team,https://github.com/fishR-Core-Team,https://fishr-core-team.github.io/RFishBC/,USA,academia
NASA Harvest,nasaharvest,https://github.com/nasaharvest,https://nasaharvest.org/,USA,government agency
Radiant Earth Foundation,radiantearth,https://github.com/radiantearth,https://www.radiant.earth,USA,non-profit
Stanford Sustainability and AI Lab ,sustainlab-group,https://github.com/sustainlab-group,https://sustain.stanford.edu/,USA,academia
U.S. General Services Administration,GSA,https://github.com/GSA,https://open.gsa.gov,USA,government agency
Open Geospatial Consortium,opengeospatial,https://github.com/opengeospatial,http://ogc.org,USA,collaboration
SmartTensors,SmartTensors,https://github.com/SmartTensors,http://SmartTensors.com,USA,community
Big Ladder Software,bigladder,https://github.com/bigladder,https://bigladdersoftware.com,USA,for-profit
Transitland,transitland,https://github.com/transitland,https://www.transit.land,USA,for-profit
Earth Lab,earthlab,https://github.com/earthlab,https://www.earthdatascience.org/,USA,academia
USA National Phenology Network,usa-npn,https://github.com/usa-npn,https://www.usanpn.org,USA,collaboration
California Forest Observatory,forestobservatory,https://github.com/forestobservatory,https://forestobservatory.com/,USA,collaboration
HyRiver,hyriver,https://github.com/hyriver,https://docs.hyriver.io,USA,community
U.S. Bureau of Reclamation,usbr,https://github.com/usbr,https://www.usbr.gov/,USA,government agency
Tech Matters,techmatters,https://github.com/techmatters,https://techmatters.org/,USA,non-profit
CAMS,CriticalAssetManagement,https://github.com/CriticalAssetManagement,https://climateresilient.world/,USA,collaboration
U.S. Digital Service,usds,https://github.com/usds,https://www.usds.gov,USA,government agency
UNEP,SDG-InterfaceOntology,https://github.com/SDG-InterfaceOntology,https://www.unep.org/explore-topics/sustainable-development-goals/what-we-do/monitoring-progress/sdg-interface-ontology,Global,non-profit
Grid Parity Exchange,grid-parity-exchange,https://github.com/grid-parity-exchange,,Global,academia
Bioverse Labs,Bioverse-Labs,https://github.com/Bioverse-Labs,https://www.bioverselabs.com/,Global,academia
PerovskiteSCModelling,PerovskiteSCModelling,https://github.com/PerovskiteSCModelling,,Global,academia
nmfs-stock-synthesis,nmfs-stock-synthesis,https://github.com/nmfs-stock-synthesis,,Global,academia
ClimateMARGO,ClimateMARGO,https://github.com/ClimateMARGO,,Global,academia
The Environment Ontology,EnvironmentOntology,https://github.com/EnvironmentOntology,http://www.environmentontology.org,Global,academia
Quantitative Sustainable Design (QSD) Group,QSD-Group,https://github.com/QSD-Group,,Global,academia
turbinesFoam,turbinesFoam,https://github.com/turbinesFoam,https://www.openfoam.com/,Global,academia
Parflow,parflow,https://github.com/parflow,https://www.parflow.org,Global,community
pvlib,pvlib,https://github.com/pvlib,https://pvlib-python.readthedocs.io/en/stable/,Global,community
JuliaEnergy,JuliaEnergy,https://github.com/JuliaEnergy,,Global,community
InMap,spatialmodel,https://github.com/spatialmodel,https://inmap.run/,Global,community
Calliope,calliope-project,https://github.com/calliope-project,https://www.callio.pe/,Global,community
rte-antares-rpackage,rte-antares-rpackage,https://github.com/rte-antares-rpackage,https://rte-antares-rpackage.github.io/rPackagesRte/,Global,community
OpenDrift,OpenDrift,https://github.com/OpenDrift,https://opendrift.github.io/,Global,community
GEOSX,GEOSX,https://github.com/GEOSX,https://geosx-geosx.readthedocs-hosted.com/en/latest/?,Global,community
Modular Ocean Model (Community Supported Version),mom-ocean,https://github.com/mom-ocean,https://mom-ocean.github.io,Global,community
CalTRACK,energy-market-methods,https://github.com/energy-market-methods,https://www.caltrack.org/,Global,community
SMRT: Snow Microwave Radiative Transfer model,smrt-model,https://github.com/smrt-model,https://www.smrt-model.science/,Global,community
CliMT,CliMT,https://github.com/CliMT,https://climt.readthedocs.io/en/latest/,Global,community
GIS4WRF,GIS4WRF,https://github.com/GIS4WRF,https://gis4wrf.github.io,Global,community
EVNotify,EVNotify,https://github.com/EVNotify,https://evnotify.com/,Global,community
CF Conventions,cf-convention,https://github.com/cf-convention,https://cfconventions.org/,Global,community
CryoGrid,CryoGrid,https://github.com/CryoGrid,,Global,community
JuliaClimate,JuliaClimate,https://github.com/JuliaClimate,https://juliaclimate.org/,Global,community
reegis,reegis,https://github.com/reegis,https://deflex.readthedocs.io/en/latest/,Global,community
DuraMAT,DuraMAT,https://github.com/DuraMAT,https://duramat.github.io/pv-terms/,Global,community
GralDispersionModel,GralDispersionModel,https://github.com/GralDispersionModel,,Global,community
OMS-NetZero,OMS-NetZero,https://github.com/OMS-NetZero,https://fair.readthedocs.io/en/latest/,Global,community
COAL Capstone,capstone-coal,https://github.com/capstone-coal,https://capstone-coal.github.io,Global,community
Pyviz Topics,pyviz-topics,https://github.com/pyviz-topics,https://pyviz.org/,Global,community
OceanParcels,OceanParcels,https://github.com/OceanParcels,http://oceanparcels.org,Global,community
Brightway LCA software framework,brightway-lca,https://github.com/brightway-lca,https://docs.brightway.dev/,Global,community
exawind,Exawind,https://github.com/Exawind,https://nalu-wind.readthedocs.io/en/latest/,Global,community
PyPSA,PyPSA,https://github.com/PyPSA,https://pypsa.org/,Global,community
Pytroll,pytroll,https://github.com/pytroll,http://pytroll.org/,Global,community
Sh**t! I Smoke,shootismoke,https://github.com/shootismoke,https://shootismoke.app,Global,community
wind-python,wind-python,https://github.com/wind-python,https://oemof.org/,Global,community
ONE ARMY,ONEARMY,https://github.com/ONEARMY,https://www.onearmy.earth/,Global,community
r-spatialecology,r-spatialecology,https://github.com/r-spatialecology,,Global,community
Python-windrose,python-windrose,https://github.com/python-windrose,,Global,community
DeepSphere,deepsphere,https://github.com/deepsphere,,Global,community
A Library of IEEE PES Power Grid Benchmarks,power-grid-lib,https://github.com/power-grid-lib,https://power-grid-lib.github.io/,Global,community
Open Water Analytics,OpenWaterAnalytics,https://github.com/OpenWaterAnalytics,http://wateranalytics.org,Global,community
National Climate Prediction Portal,NCPP,https://github.com/NCPP,http://earthsystemcog.org/projects/ncpp/,Global,community
Fund Model,fund-model,https://github.com/fund-model,https://www.fund-model.org/,Global,community
ATMOSCHEM,atmoschem,https://github.com/atmoschem,https://atmoschem.github.io/,Global,community
xarray-contrib ,xarray-contrib,https://github.com/xarray-contrib,https://xarray.pydata.org/,Global,community
xgcm,xgcm,https://github.com/xgcm,,Global,community
Energy Modelling Toolkit ,energy-modelling-toolkit,https://github.com/energy-modelling-toolkit,,Global,community
mlco2,mlco2,https://github.com/mlco2,https://dataforgood.fr/,Global,community
OpenIDEAS,open-ideas,https://github.com/open-ideas,,Global,community
CityFlow,cityflow-project,https://github.com/cityflow-project,,Global,community
pvcaptest,pvcaptest,https://github.com/pvcaptest,,Global,community
NMF.earth,NMF-earth,https://github.com/NMF-earth,http://nmf.earth,Global,community
CryoTools,cryotools,https://github.com/cryotools,https://cryo-tools.org,Global,community
dsr-18,dsr-18,https://github.com/dsr-18,,Global,community
BEMRosetta,BEMRosetta,https://github.com/BEMRosetta,,Global,community
OpenSCM,openscm,https://github.com/openscm,,Global,community
SOGNO,sogno-platform,https://github.com/sogno-platform,https://sogno-platform.github.io/,Global,community
Balmorel Community,balmorelcommunity,https://github.com/balmorelcommunity,http://www.balmorel.com/,Global,community
SmartEVSE,SmartEVSE,https://github.com/SmartEVSE,https://www.smartevse.nl/,Global,community
icepyx,icesat2py,https://github.com/icesat2py,https://icepyx.readthedocs.io/en/latest/,Global,community
Growstuff,Growstuff,https://github.com/Growstuff,http://growstuff.org/,Global,community
netCDF Operators,nco,https://github.com/nco,https://nco.sourceforge.net/,Global,community
MATPOWER Development,MATPOWER,https://github.com/MATPOWER,https://matpower.org/,Global,community
Climate Strike License,climate-strike,https://github.com/climate-strike,https://climatestrike.software/,Global,community
CyclOSM,cyclosm,https://github.com/cyclosm,https://www.cyclosm.org/,Global,community
HotMaps,HotMaps,https://github.com/HotMaps,https://www.hotmaps-project.eu/,Global,community
BioSTEAM Development Group,BioSTEAMDevelopmentGroup,https://github.com/BioSTEAMDevelopmentGroup,https://biosteam.readthedocs.io/en/latest/index.html,Global,community
RTE-RRTMGP,earth-system-radiation,https://github.com/earth-system-radiation,https://earth-system-radiation.github.io/rte-rrtmgp/,Global,community
ECS Hack Week ,ECSHackWeek,https://github.com/ECSHackWeek,,Global,community
RAMP,RAMP-project,https://github.com/RAMP-project,,Global,community
JuliaOcean,JuliaOcean,https://github.com/JuliaOcean,https://github.com/JuliaOcean,Global,community
Estimating the Circulation and Climate of the Ocean (ECCO),ECCO-GROUP,https://github.com/ECCO-GROUP,,Global,community
VIAME,VIAME,https://github.com/VIAME,http://www.viametoolkit.org/,Global,collaboration
Brick Schema,BrickSchema,https://github.com/BrickSchema,https://brickschema.org/,Global,collaboration
Integrated Assessment Modeling Consortium (IAMC),IAMconsortium,https://github.com/IAMconsortium,https://www.iamconsortium.org,Global,collaboration
CICE Consortium,CICE-Consortium,https://github.com/CICE-Consortium,,Global,collaboration
HPXML Working Group,hpxmlwg,https://github.com/hpxmlwg,http://hpxmlonline.com,Global,collaboration
powsybl,powsybl,https://github.com/powsybl,https://www.powsybl.org,Global,collaboration
Earth System Community Modeling Portal,ESCOMP,https://github.com/ESCOMP,https://escomp.github.io/,Global,collaboration
H2020 openENTRANCE,openENTRANCE,https://github.com/openENTRANCE,https://openentrance.eu,Global,collaboration
Open Power System Data,Open-Power-System-Data,https://github.com/Open-Power-System-Data,http://open-power-system-data.org/,Global,collaboration
CCSI Toolset,CCSI-Toolset,https://github.com/CCSI-Toolset,https://www.acceleratecarboncapture.org/,Global,collaboration
Spine project,Spine-project,https://github.com/Spine-project,http://www.spine-model.org/,Global,collaboration
